review;others
5;
3;
5;
5;
5;
5;
4;apartamento imundo e com baratassss
5;
5;
5;
5;
5;
3;
4;
4;
4;
4;localização me pareceu MT deserto
5;
3;
4;longe do metrô.
5;
5;
4;
5;
5;
5;
5;
5;
2;imóvel bom mas pessimamente localizado, não é nada razoável encontrar imóvel em valor alto só pq tá reformado mas em um prédio horroroso, rua tenebrosa.
2;
4;
4;Não tem sala
2;Nao tinha sala
4;
5;
3;nas fotos não parece, mas a parede da sala é torta
5;
4;Preço vs localização
5;
5;
5;
5;
4;
5;
5;
5;
5;
5;
5;
5;
5;
4;
2;
2;
3;parecia mais amplo e aconchegante
5;
3;
5;
5;
4;
4;
5;
5;
5;
5;
4;
3;
4;Lavanderia comum
4;Tinha uma parede com mofo
3;O apartamento e mal iluminado e pouco aerado. Os armários da cozinha estão velhos, sujos e cheirando mal. Há infiltração no teto de um dos quartos.
5;
4;
5;
5;
4;
5;
5;
4;
5;
4;
2;
4;Apartamento com quartos pequenos
5;
5;
5;
5;
5;
5;
5;
5;
4;só não gostei do banheiro
5;
4;
2;o imóvel estava muito judiado e precisa de muitas melhorias
4;
4;
1;as fotos nao mostram os armarios mal conservados
4;
5;
5;
2;
5;
4;
3;
5;
5;
5;
5;
4;
5;
5;
5;
5;
2;face sul. não bate sol. essa informação poderia constar nos anúncios
3;
5;
4;
5;
5;
1;Escolhi mal
5;
5;
2;apto muito pequeno
5;
4;
1;
3;
3;
3;
5;
5;
5;alto e com sacada
3;
3;
2;O imóvel me parece mal feito, possui uma série de defeitos.
2;
1;não tem quartos no imóvel
2;
1;não tem quartos no imóvel
3;
3;
3;
3;
3;
5;
5;
5;
5;
5;
4;
5;
4;
2;
3;o imóvel n é bem localizado e conservado
4;
4;
4;não tem fogão
5;
4;não tem fogão
5;
3;
4;
4;preco
3;
2;
5;
5;
5;
5;otimo
5;
5;
5;
5;
4;
5;
4;
2;quando reservei para visitar o valor era outro, mais baixo
4;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
2;valor muito acima do esperado
3;
5;
5;Enviei uma proposta e estou no aguardo
5;Enviei uma proposta e estou no aguardo
4;local
4;área comum um pouco defasada , não atende as expectativas
5;
5;
5;
4;Piso em situação muito ruim.
5;
5;
3;
3;
5;
5;
2;Esperava um apto mais bem cuidado. As tomadas estavam quebradas e ainda são do sistema antigo, sem aterramento. O esgoto do apto de cima fica todo a mostra... Dá uma má impressão de cara!
3;
5;
5;
5;
4;
5;
5;ok
5;
4;
5;
3;
5;
2;
2;informações sobre o IPTU, por exemplo
4;
4;não está de acordo com a expectativa da minha noiva
2;planta mal planejada, a cozinha fica nos fundos do corredor, depois dos quartos. não me agradou :/
3;
5;
5;
5;
2;nao tem suite
5;
4;
5;
5;
4;
4;
3;
4;
4;
2;mau conservado
4;
4;
4;
4;
4;Existem várias divergências em relação ao anunciado
4;
2;O anúncio dizia que o imóvel era mobiliado com fogão e geladeira inclusos mas não tinha praticamente nada de mobília, apenas armários na cozinha e banheiro pessimamente conservados,
2;
5;
5;
3;apartamento velho não conservado .
5;
3;o imóvel não estava mobiliado
5;
5;
4;
3;
4;preço mudou depois de marcar visita e não avisaram
5;
5;
5;
2;
4;necessitava de intervenção para estar pronto para se mudar
2;
5;
3;
4;
5;
5;
4;
3;
4;
3;
5;
5;
4;
1;
5;
5;
3;m
4;localização escondida
4;
5;
2;imovel muito deteriorado
3;poderia estar com as fotos autênticas
5;
3;
5;
5;
5;
2;
5;
5;
5;
4;segundo dormitorio pequeno
2;barulho
5;
5;
5;
5;
4;Um dos quartos é na verdade um escritório com um armário/escrivaninha que ocupa a maior parte do cômodo e é embutido
2;
3;abafado
3;
2;
3;não tem armário em todos os quartos
5;
5;
5;
2;
2;
5;
5;
4;
5;
5;
5;
5;
3;
5;
5;
5;
5;
5;
3;b
4;
5;
2;
5;
5;
4;
2;
3;
5;
5;
4;
4;
5;
1;
3;
5;
5;
5;
5;
3;
5;
5;
2;Papel de parede rasgado em todos os cómodos.
5;
4;não poder tirar algumas mobílias do proprietário.
4;meus móveis não cabem no local
5;
3;
4;
4;
5;
3;nada a informar
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
1;funcionário da portaria apresentou ma vontade, e fez descaso com a visita
4;
5;
5;
3;proprietário não responde.
2;não tem o quintal da foto
4;
3;sem área, janela direto pra área comum na mesma altura
4;
4;Tem ótimos armários, mas preciso ver como colocar minha mobília lá. Acabou que o conjunto parece ter armários demais.
4;
5;
1;um lixo.... horroroso
4;
5;
2;carpete sob laminado bem deteriorado. um amontoado de revestimentos no piso.
3;móveis embutidos antigos e difíceis de adaptar
5;
3;
5;
5;
3;
4;
4;
2;suite muito pequena, nao cabe uma cama queen padrao e acessorios basicos do quarto.
5;
3;
3;
5;
2;
5;
5;
4;O apto e o prédio são ótimos, mas o local é muito perto dos inferninhos e hotéis usados para prostituição da Augusta.
5;
5;
3;
3;
5;
3;fotos com.móveis
3;imóvel muito bem decorado, porém o condomínio deixa muito a deseja, muito mal conservado para um condomínio de apenas 3 anos
5;
5;
4;
5;
5;
4;esperava que viesse mobiliado, mas gostei do apartamento.
5;
5;
5;
5;
4;
5;
5;
4;
5;
5;
5;
5;
5;
1;
2;
3;custo
5;
5;
5;
3;
5;
1;
3;
4;esperava mais.
5;
5;
5;
3;em comparação a outros aptos na região com mesmo valor de aluguel ,esse não tem armários no quarto e o banheiro precisa de uma atualização: bidê e box.
3;em comparação a outros aptos na região com mesmo valor de aluguel ,esse não tem armários no quarto e o banheiro precisa de uma atualização: bidê e box.
5;
5;
4;
4;
4;
3;
3;náo
2;imóvel muito acabado, não condiz com o valor pedido de aluguel
4;
5;
3;
5;
5;
5;
4;prédio bom é bem preservado, apartamento muito bom, com bons armários. mas o prédio não tem crianças.
4;prédio bom é bem preservado, apartamento muito bom, com bons armários. mas o prédio não tem crianças.
5;
4;
5;
5;
5;
5;
5;
5;
1;muito caro
3;
5;
5;
5;
5;
5;
5;
5;
5;
3;
1;
5;A visita foi legal. Mas isso de vcs obrigarem a escrever é péssimo.
2;só isso
5;
5;
5;
3;
5;
4;
3;
5;
4;
5;
5;
4;móveis planejados não agradam
5;nao tinha mobilia
4;armários ruins.
5;
5;
3;
2;
5;
5;
5;
1;
1;
5;
5;
5;
5;fachada
5;
2;
5;
5;
5;
5;
5;
5;
5;
4;
3;
3;
5;
5;
1;
5;
3;
1;
3;
5;
3;
4;
3;
5;
3;Poderia ter fotos das partes mal conservadas.
4;Muito pequeno
5;
4;Não me atentei ao fato de não ter vaga de garagem.
2;
5;
5;
1;
5;
1;
5;
5;
5;
4;
3;
5;
4;Infelizmente não podemos aproveitar um dos quartos pois possui mobília de escritório a qual não podem ser removidas. O apt. esta lindo.
5;
4;
5;
5;
3;
2;
3;As fotos não condizem com o imovel
5;
5;
3;Carregado, com mobília demais
4;
3;
5;
5;
1;
5;
3;Achei a decoração um pouco antiga porém bonita! A geladeira estava ligada mas não está gelando.
5;
5;
2;
5;
4;
4;mofo nos armários
4;
5;
3;
4;chuveiro elétrico e sala pequena
5;
5;
5;
5;
5;
4;
5;
5;
5;
4;
2;ok
3;
2;imóvel com tamanho bem inferior ao anunciado
5;
5;
5;
2;móveis de alvenaria
4;
2;
3;
5;
5;
5;
5;
5;
1;
3;não há separação entre os ambientes
1;
3;2 quartos com medidas muito diferentes entre eles
4;preciso de mais armários
4;
5;
3;prédio sem recepção, antigo, numa rua muito apertada
3;
4;Associei o valor com os imoveis que apareceu nas fotos.
5;
5;
1;oi
4;
3;
5;
5;
5;
4;
2;diz que tem 3 quartos, o terceiro é um quadrado com armário. não cabe nem uma cama
5;
5;
4;
5;
4;Não consegui acender a luz da sala (não sei se está queimada ou é algum problema) e algumas portas de armários não fecham. Não gostei do gás ficar dentro da cozinha.
4;
5;
3;falta reforma
4;O imóvel pessoalmente tinha a parede da sala diferente das fotos, com um painel horroroso de madeira com pinos e fundo preto.
4;custo total fora da realidade
3;
5;
5;
4;
5;
3;
5;gostei da cozinha bem ampla
5;
4;
5;
2;não cabia máquina de lavar, tem uma gambiarra na pia do banheiro, está bem sujo.
5;
3;fffgggg
3;espaço não atendia
5;
4;
5;
4;condominio muito caro
5;
5;
4;Conservação geral.
5;
3;pequeno e sem vaga
4;área de serviço e cozinha não tem janelas
3;
4;Apto bem pequeno...
5;
3;Condomínio muito alto
4;
3;Condomínio muito alto
4;
1;
5;
